"autoservicio","comuna","direccion","empresa","precio","region","tipoGasolina","ultimaModificacion"
"false","","Av. Tadeo Haenke 1808,Iquique","PETROBRAS","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 08:27:52 PET 2021"
"false","","Av. Salvador Allende esq. O'Higgins 0,Iquique","PETROBRAS","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 09:27:19 PET 2021"
"false","","Pedro Prado esq. Gómez Carreño 0,Iquique","PETROBRAS","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 11:31:06 PET 2021"
"true","","Avda. Arturo Prat 1850,Iquique","SHELL","660.0","Tarapacá","Petroleo Diesel","Thu Jun 24 09:53:42 PET 2021"
"false","","Francisco Bilbao 986,Taltal","PETROBRAS","891.0","Antofagasta","Gasolina 93","Tue Jun 01 16:52:50 PET 2021"
"false","","FRANCISCO BILBAO 101,Taltal","COPEC","916.0","Antofagasta","Gasolina 93","Thu Jun 24 08:03:51 PET 2021"
"false","","PANAMERICANA NORTE KM 1144,Taltal","COPEC","921.0","Antofagasta","Gasolina 93","Thu Jun 24 10:20:38 PET 2021"
"false","","AV. ANGAMOS 0633,Antofagasta","COPEC","937.0","Antofagasta","Gasolina 93","Wed Jun 23 23:29:54 PET 2021"
"false","","AV. ARGENTINA 3211,Antofagasta","COPEC","937.0","Antofagasta","Gasolina 93","Thu Jun 24 08:39:28 PET 2021"
"false","","AV. ANTONIO RENDIC 3855,Antofagasta","COPEC","940.0","Antofagasta","Gasolina 93","Thu Jun 24 14:15:49 PET 2021"
"false","","AV. MEJILLONES 4950 ESQ. ILLAPEL 4950,Antofagasta","COPEC","940.0","Antofagasta","Gasolina 93","Wed Jun 23 23:42:34 PET 2021"
